title,year,certificate,duration,genre,rating,description,stars,votes,country,show_id,type
Haters Back Off!,(2016–2017),TV-14,30 min,"Comedy, Drama, Family",5.9,"The odd ball family life of Miranda Sings, an incredibly confident, totally untalented star on the rise who continues to fail upward by the power of her belief that she was born famous, it's just no one knows it yet.","['Colleen Ballinger, ', 'Angela Kinsey, ', 'Francesca Reale, ', 'Erik Stocklin']","7,335",United States,s5209,TV Show
Glitch,(2022– ),TV-MA,60 min,"Comedy, Mystery, Sci-Fi",,"Hong Ji Hyo's boyfriend disappears with an unidentified light. Since then, Hong Ji Hyo traces her boyfriend's whereabouts. With the help of a UFO club members, she approaches a mysterious secret.","['Jeon Yeo-bin, ', 'Dong-hwi Lee, ', 'Jin-Ah Im, ', 'Soomin Chun']",,Australia,s3492,TV Show
Uncorked,(I) (2020),TV-MA,104 min,Drama,6.4,Elijah must balance his dream of becoming a master sommelier with his father's expectations that he carry on the family's Memphis BBQ joint.,"['Prentice Penny', '| ', '    Stars:', 'Courtney B. Vance, ', 'Lashun Pollard, ', 'Michael Mobley, ', 'Robert Cox']","5,771",United States,s2772,Movie
Berserk: The Golden Age Arc III - The Advent,(2013),Not Rated,110 min,"Animation, Action, Adventure",7.8,A year has passed since Guts parted ways with Griffith. The Band of the Hawk is plotting a rescue mission to save Griffith who is confined to prison.,"['Toshiyuki Kubooka', '| ', '    Stars:', 'Marc Diraison, ', 'Hiroaki Iwanaga, ', 'Carrie Keranen, ', 'Takahiro Sakurai']","10,365",Japan,s5294,Movie
Point Blank,(2019),TV-MA,86 min,"Action, Crime, Drama",5.7,An ER nurse and a career criminal are forced into an unlikely partnership in taking down a ring of corrupt cops threatening the lives of both their families.,"['Joe Lynch', '| ', '    Stars:', 'Frank Grillo, ', 'Stuart F. Wilson, ', 'Buster Reeves, ', 'Christian Cooke']","14,514","France, United States",s3676,Movie
My Secret Romance,(2017),TV-14,47 min,"Comedy, Romance",7.1,Jin-wook and Yoo-mi meet at a Gangwon-do resort and get caught up in a series of misunderstandings and accidents.,"['Ji-eun Song, ', 'Sung Hoon, ', 'Jae-young Kim, ', 'Da-Sol Jeong']","3,549",South Korea,s2632,TV Show
The A List,(2018–2021),TV-14,25 min,"Crime, Drama, Mystery",5.4,"Mia arrives at an idyllic summer camp expecting to be Queen Bee, but the ""holiday of a lifetime"" turns into a twisted nightmare.","['Lisa Ambalavanar, ', 'Ellie Duckles, ', 'Rosie Dwyer, ', 'Jack Kane']","2,968",United Kingdom,s539,TV Show
Private Life,(2018),R,123 min,"Comedy, Drama",7.2,"An author is undergoing multiple fertility therapies to get pregnant, putting her relationship with her husband on edge.","['Tamara Jenkins', '| ', '    Stars:', 'Kathryn Hahn, ', 'Paul Giamatti, ', 'Gabrielle Reid, ', 'Amy Russ']","19,832",United States,s4534,Movie
Like Father,(2018),TV-MA,98 min,"Comedy, Drama",6.1,"After she's left at the altar, a workaholic advertising executive ends up on her Caribbean honeymoon cruise with her estranged father.","['Lauren Miller Rogen', '| ', '    Stars:', 'Kristen Bell, ', 'Danielle Davenport, ', 'Kimiko Glenn, ', 'Wynter Kullman']","21,599",United States,s4719,Movie
Other People,(I) (2016),Unrated,97 min,"Comedy, Drama",6.8,"A struggling comedy writer, fresh off a breakup and in the midst of the worst year of his life, returns to Sacramento to care for his dying mother.","['Chris Kelly', '| ', '    Stars:', 'Jesse Plemons, ', 'Molly Shannon, ', 'Bradley Whitford, ', 'Maude Apatow']","11,552",United States,s5686,Movie
Article 15,(2019),Not Rated,130 min,"Crime, Drama, Mystery",8.2,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.","['Anubhav Sinha', '| ', '    Stars:', 'Ayushmann Khurrana, ', 'Nassar, ', 'Manoj Pahwa, ', 'Kumud Mishra']","33,653",India,s3531,Movie
Mine,(2021– ),TV-14,70 min,"Drama, Mystery",7.7,"Encaged in a gold-clad life of secrets and lies, two women in a conglomerate family seek to topple all that stands in their way of finding true joy.","['Lee Bo-young, ', 'Kim Seo-hyeong, ', 'Ja-Yeon Ok, ', 'Hyun-Wook Lee']","1,260",South Korea,s903,TV Show
Cinderella and the Four Knights,(2016),TV-PG,60 min,"Comedy, Romance",7.4,"A young girl who lives with her cruel stepmother and sister, accidentally meets 3 young and rich cousins who live a luxury life in a big mansion and is hired by the boys grandpa to look after their bad behavior.","['Il-Woo Jung, ', 'Ahn Jae-Hyun, ', 'Park So-dam, ', 'Jung Shin Lee']","4,088",South Korea,s3128,TV Show
Champions,(2018),TV-14,30 min,Comedy,6.0,Vince is forced to re-think his laid-back lifestyle following an unexpected visit.,"['Anders Holm, ', 'Fortune Feimster, ', 'Andy Favreau, ', 'Josie Totah']","3,940",United States,s663,TV Show
Summertime,(2020–2022),TV-MA,40 min,"Drama, Romance",6.1,"A modern love story, set during a summer on the Adriatic coast. An undeniable attraction unites Ale and Summer, two people from very different worlds.","['Rebecca Coco Edogamhe, ', 'Ludovico Tersigni, ', 'Amanda Campana, ', 'Andrea Lattanzi']","2,806",Italy,s773,TV Show
"Oh, Ramona!",(2019),TV-MA,109 min,"Comedy, Romance",4.8,A teenager named Andrei transitions from a teenager into an adult.,"['Cristina Jacob', '| ', '    Stars:', 'Basil Eidenbenz, ', 'Aggy K. Adams, ', 'Holly Horne, ', 'Adina Stetcu']","9,010",Romania,s3786,Movie
The Liberator,(2020– ),TV-MA,1 Season,"Animation, Action, Drama",7.6,The true story of one of the bloodiest battles of World War II.,"['Bradley James, ', 'Martin Sensmeier, ', 'Jose Miguel Vasquez, ', 'Forrest Goodluck']","6,233",United States,s1718,TV Show
System Crasher,(2019),TV-MA,125 min,Drama,7.8,"On her wild quest for love, 9-year-old Benni's untamed energy drives everyone around her to despair.","['Nora Fingscheidt', '| ', '    Stars:', 'Helena Zengel, ', 'Albrecht Schuch, ', 'Gabriela Maria Schmeide, ', 'Lisa Hagmeister']","13,039",Germany,s2896,Movie
