title,year,certificate,duration,genre,rating,description,stars,votes,country,show_id,type
The Flash,(2014–2023),TV-PG,42 min,"Action, Adventure, Drama",4.9,Barry and Iris plan a romantic dinner for Valentine's Day but their evening is interrupted by an old foe - Amunet; Frost gets into the holiday spirit and attempts to help Allegra reconnect with an old love.,"['Sudz Sutherland', '| ', '    Stars:', 'Grant Gustin, ', 'Candice Patton, ', 'Danielle Panabaker, ', 'Carlos Valdes']","2,124",United States,s381,TV Show
Power Rangers Beast Morphers,(2019–2020),TV-Y7,2 Seasons,"Action, Adventure, Comedy",8.2,Ravi must face one of his worst fears when it interferes with his Ranger duties.,"['Oliver Driver', '| ', '    Stars:', 'Rorrie D. Travis, ', 'Jasmeet Baduwalia, ', 'Jacqueline Scislowski, ', 'Abraham Rodriguez']",33,United States,s1853,TV Show
Go! Live Your Way,(2019),TV-Y7,2 Seasons,"Comedy, Family, Musical",8.5,Mía asks Ramiro if he and her mother had a relationship. Álvaro worries about changing schools. The students say goodbye to a teacher.,"['Pilar Pascual, ', 'José Gimenez Zapiola, ', 'Renata Toscano Bruzón, ', 'Santiago Saez']",12,Argentina,s3723,TV Show
Go! Live Your Way,(2019),TV-Y7,2 Seasons,"Comedy, Family, Musical",8.6,"Zoe faces off against Lupe about her behavior. Álvaro and Olivia continue to bond. Later, Mía tries to interpret an affectionate letter.","['Pilar Pascual, ', 'José Gimenez Zapiola, ', 'Renata Toscano Bruzón, ', 'Santiago Saez']",10,Argentina,s3723,TV Show
Go! Live Your Way,(2019),TV-Y7,2 Seasons,"Comedy, Family, Musical",8.4,"Mía agrees to be Lupe's dancing mentor before Natasha announces the group numbers. Meanwhile, Álvaro considers how to handle Olivia's feelings.","['Pilar Pascual, ', 'José Gimenez Zapiola, ', 'Renata Toscano Bruzón, ', 'Santiago Saez']",8,Argentina,s3723,TV Show
Go! Live Your Way,(2019),TV-Y7,2 Seasons,"Comedy, Family, Musical",8.4,Juanma and Álvaro despair over Mía's announcement that she is moving while Lupe celebrates. Gaspar and Zoe's relationship comes to light.,"['Pilar Pascual, ', 'José Gimenez Zapiola, ', 'Renata Toscano Bruzón, ', 'Santiago Saez']",8,Argentina,s3723,TV Show
Go! Live Your Way,(2019),TV-Y7,2 Seasons,"Comedy, Family, Musical",8.4,Mía's friends say goodbye in an emotional way. Lupe strives to catch a music producer's attention at the ice cream parlor.,"['Pilar Pascual, ', 'José Gimenez Zapiola, ', 'Renata Toscano Bruzón, ', 'Santiago Saez']",8,Argentina,s3723,TV Show
Go! Live Your Way,(2019),TV-Y7,2 Seasons,"Comedy, Family, Musical",8.3,Lupe tries to thwart Mía's performance in order to win producer Charly Martin's musical audition.,"['Pilar Pascual, ', 'José Gimenez Zapiola, ', 'Renata Toscano Bruzón, ', 'Santiago Saez']",7,Argentina,s3723,TV Show
Go! Live Your Way,(2019),TV-Y7,2 Seasons,"Comedy, Family, Musical",7.8,"All of the male performers receive an opportunity to audition for the new teacher. Meanwhile, Mía and Juanma allow their personal feelings to affect their duet recording.","['Pilar Pascual, ', 'José Gimenez Zapiola, ', 'Renata Toscano Bruzón, ', 'Santiago Saez']",6,Argentina,s3723,TV Show
Go! Live Your Way,(2019),TV-Y7,2 Seasons,"Comedy, Family, Musical",8.0,"Álvaro puts together a surprise dinner for Mía. Martín schemes to get revenge on Tobí. Meanwhile, Mercedes and her friend partake in a DNA test of their own.","['Pilar Pascual, ', 'José Gimenez Zapiola, ', 'Renata Toscano Bruzón, ', 'Santiago Saez']",7,Argentina,s3723,TV Show
Go! Live Your Way,(2019),TV-Y7,2 Seasons,"Comedy, Family, Musical",8.1,Add a Plot,"['Pilar Pascual, ', 'José Gimenez Zapiola, ', 'Renata Toscano Bruzón, ', 'Santiago Saez']",7,Argentina,s3723,TV Show
Go! Live Your Way,(2019),TV-Y7,2 Seasons,"Comedy, Family, Musical",8.3,Lupe strives to boot Juanma and Mía out of nationals. Simón and Zoe consider their friendship.,"['Pilar Pascual, ', 'José Gimenez Zapiola, ', 'Renata Toscano Bruzón, ', 'Santiago Saez']",8,Argentina,s3723,TV Show
Go! Live Your Way,(2019),TV-Y7,2 Seasons,"Comedy, Family, Musical",8.4,Mía and Juanma face a difficult decision about their futures. Ramiro seeks the truth from Isabel. Lupe struggles with feeling alone.,"['Pilar Pascual, ', 'José Gimenez Zapiola, ', 'Renata Toscano Bruzón, ', 'Santiago Saez']",8,Argentina,s3723,TV Show
Go! Live Your Way,(2019),TV-Y7,2 Seasons,"Comedy, Family, Musical",8.1,Álvaro struggles to convince Juanma to play basketball again. Fede strives to earn Sofí's trust.,"['Pilar Pascual, ', 'José Gimenez Zapiola, ', 'Renata Toscano Bruzón, ', 'Santiago Saez']",7,Argentina,s3723,TV Show
Go! Live Your Way,(2019),TV-Y7,2 Seasons,"Comedy, Family, Musical",8.3,"Someone unexpected lends Lupe a helping hand after she discovers her parents' plan to separate. Meanwhile, Mía struggles to choose between Álvaro and Juanma.","['Pilar Pascual, ', 'José Gimenez Zapiola, ', 'Renata Toscano Bruzón, ', 'Santiago Saez']",8,Argentina,s3723,TV Show
Go! Live Your Way,(2019),TV-Y7,2 Seasons,"Comedy, Family, Musical",8.8,Mía makes a decision as Lupe learns something unexpected. Simón contends with difficulties with the music just before the team performs at nationals.,"['Pilar Pascual, ', 'José Gimenez Zapiola, ', 'Renata Toscano Bruzón, ', 'Santiago Saez']",9,Argentina,s3723,TV Show
Go! Live Your Way,(2019),TV-Y7,2 Seasons,"Comedy, Family, Musical",8.5,"The group puts on their performance at nationals, facing off against some unexpected competition. Meanwhile, Mía, Álvaro, and Lupe must face the future.","['Pilar Pascual, ', 'José Gimenez Zapiola, ', 'Renata Toscano Bruzón, ', 'Santiago Saez']",11,Argentina,s3723,TV Show
The End of the F***ing World,(2017–2019),TV-MA,22 min,"Adventure, Comedy, Crime",8.1,"After an awkward encounter at the cafe, Alyssa wakes up on her big day with nagging doubts about what she wants from life.","['Lucy Forbes', '| ', '    Stars:', 'Jessica Barden, ', 'Alex Lawther, ', 'Naomi Ackie, ', 'Christine Bottomley']","2,685",United Kingdom,s3307,TV Show
The End of the F***ing World,(2017–2019),TV-MA,24 min,"Adventure, Comedy, Crime",8.2,A flat tire forces the unlikely trio of travelers to seek refuge at a roadside inn run by a man who's desperate for company.,"['Lucy Forbes', '| ', '    Stars:', 'Jessica Barden, ', 'Alex Lawther, ', 'Naomi Ackie, ', 'Tim Key']","2,664",United Kingdom,s3307,TV Show
The End of the F***ing World,(2017–2019),TV-MA,21 min,"Adventure, Comedy, Crime",7.7,"While Bonnie scrambles to cover her tracks and tend to her injury, James tries to figure out where things stand with Alyssa.","['Destiny Ekaragha', '| ', '    Stars:', 'Jessica Barden, ', 'Alex Lawther, ', 'Naomi Ackie, ', 'Paterson Joseph']","2,538",United Kingdom,s3307,TV Show
The End of the F***ing World,(2017–2019),TV-MA,19 min,"Adventure, Comedy, Crime",7.8,"Alyssa decides it's time to set things right at home, James searches for a new plan, and Bonnie resumes her quest with fresh vigor.","['Destiny Ekaragha', '| ', '    Stars:', 'Jessica Barden, ', 'Alex Lawther, ', 'Naomi Ackie, ', 'Josh Dylan']","2,543",United Kingdom,s3307,TV Show
The End of the F***ing World,(2017–2019),TV-MA,24 min,"Adventure, Comedy, Crime",8.9,"After discovering Bonnie's true intentions, James races to help Alyssa, and a tense showdown unfolds inside the café.","['Destiny Ekaragha', '| ', '    Stars:', 'Jessica Barden, ', 'Alex Lawther, ', 'Naomi Ackie, ', 'Divian Ladwa']","3,343",United Kingdom,s3307,TV Show
The End of the F***ing World,(2017–2019),TV-MA,19 min,"Adventure, Comedy, Crime",8.6,"Desperate to vanish visions of the night at Clive's house, Alyssa suddenly disappears, sending James into a panic attack.","['Destiny Ekaragha', '| ', '    Stars:', 'Jessica Barden, ', 'Alex Lawther, ', 'Naomi Ackie, ', 'Josh Dylan']","3,208",United Kingdom,s3307,TV Show
The Protector,(2018–2020),TV-MA,4 Seasons,"Action, Fantasy, Sci-Fi",6.6,"Zeynep and Hakan race against time to find Nisan, a chemist who's their only hope for a cure. A shadow from the past returns.","['Umut Aral', '| ', '    Stars:', 'Çagatay Ulusoy, ', 'Hazar Ergüçlü, ', 'Okan Yalabik, ', 'Engin Öztürk']",397,Turkey,s2255,TV Show
The Windsors,(2016– ),TV-MA,3 Seasons,Comedy,7.3,"With the country deeply divided, the government asks the younger Royals to cheer up Britain. The older Royals go on strike over the minimal rise to the Sovereign Grant - but no-one notices. Beatrice sets up a new drinks brand.","['Amanda Blue', '| ', '    Stars:', 'Matthew Cottle, ', 'Celeste Dring, ', 'Kathryn Drysdale, ', 'Tom Durant Pritchard']",59,United Kingdom,s2747,TV Show
Prank Encounters,(2019– ),TV-MA,2 Seasons,"Comedy, Horror, Reality-TV",6.5,"A babysitter finds herself in the middle of a real-life horror movie. Masterful planning, acting and timing pulled this off. A hilarious prank with quality actors and two unsuspecting victims.","['Anthony Gonzales', '| ', '    Stars:', 'Gaten Matarazzo, ', 'Mary Gallagher, ', 'Opal Littleton, ', 'David Storrs']",199,United States,s1128,TV Show
Prank Encounters,(2019– ),TV-MA,2 Seasons,"Comedy, Horror, Reality-TV",6.8,Two temps cross paths on an isolated stretch of road that has claimed many lives in car crashes because of an angry monster that lives in the surrounding forest.,"['Anthony Gonzales', '| ', '    Stars:', 'Gaten Matarazzo, ', 'David Storrs, ', 'Mary Gallagher, ', 'Sven Holmberg']",160,United States,s1128,TV Show
Prank Encounters,(2019– ),TV-MA,2 Seasons,"Comedy, Horror, Reality-TV",6.3,A private investigator working a missing person case and a home care assistant caring for a woman recovering from surgery find their paths crossing.,"['Anthony Gonzales', '| ', '    Stars:', 'Gaten Matarazzo, ', 'Mary Gallagher, ', 'David Storrs, ', 'Julian Gant']",140,United States,s1128,TV Show
Prank Encounters,(2019– ),TV-MA,2 Seasons,"Comedy, Horror, Reality-TV",6.6,A concierge travel assistant and a doctor's assistant worry that a decorated astronaut may have a stellar case of indigestion.,"['Anthony Gonzales', '| ', '    Stars:', 'Gaten Matarazzo, ', 'David Storrs, ', 'Cathy Shim, ', 'Jeff Lewis']",121,United States,s1128,TV Show
Prank Encounters,(2019– ),TV-MA,2 Seasons,"Comedy, Horror, Reality-TV",7.2,Two unsuspecting camp leaders find themselves in the middle of a real-life horror movie. Masterful planning and timing pulled this prank off. Highly entertaining.,"['Anthony Gonzales', '| ', '    Stars:', 'Gaten Matarazzo, ', 'David Storrs, ', 'Mary Gallagher, ', 'Sven Holmberg']",131,United States,s1128,TV Show
Prank Encounters,(2019– ),TV-MA,2 Seasons,"Comedy, Horror, Reality-TV",6.0,A curator and warehouse worker hired on at a museum find that the new Egyptian exhibit really does make the past come alive.,"['Anthony Gonzales', '| ', '    Stars:', 'Gaten Matarazzo, ', 'David Storrs, ', 'Cathy Shim, ', 'Gabriel Pimentel']",103,United States,s1128,TV Show
Prank Encounters,(2019– ),TV-MA,2 Seasons,"Comedy, Horror, Reality-TV",7.2,"A talent agent and party planner find themselves at a young girls birthday party with 'Stranger Things' star Gaten Matarazzo, trying to plan her special day while dealing with her father's terrifyingly high standards.","['Anthony Gonzales', '| ', '    Stars:', 'Gaten Matarazzo, ', 'Eddie Perino, ', 'Mary Gallagher, ', 'Sven Holmberg']",114,United States,s1128,TV Show
Typewriter,(2019),TV-MA,55 min,"Horror, Mystery, Thriller",7.1,A sudden death prompts the Ghost Gang to hatch a dicey scheme. Jenny tries to learn more about a figure from her past. Amit pays some disturbing visits.,"['Sujoy Ghosh', '| ', '    Stars:', 'Aarnaa Sharma, ', 'Palomi Ghosh, ', 'Mikhail Gandhi, ', 'Palash Kamble']",152,India,s3656,TV Show
Typewriter,(2019),TV-MA,43 min,"Horror, Mystery, Thriller",7.4,"Sam makes a damning accusation. Ravi contemplates Jenny's link to recent deaths. In 1950s Sultanpore, a mother displays unnatural powers.","['Sujoy Ghosh', '| ', '    Stars:', 'Aarnaa Sharma, ', 'Palomi Ghosh, ', 'Mikhail Gandhi, ', 'Palash Kamble']",139,India,s3656,TV Show
3Below: Tales of Arcadia,(2018–2019),TV-Y7,22 min,"Animation, Action, Adventure",7.7,"Left vulnerable after Omen's attack, the royal heirs look to conceal their damaged ship but are soon confronted by the bounty hunter Magmatron.","['Andrew L. Schmidt', '| ', '    Stars:', 'Tatiana Maslany, ', 'Diego Luna, ', 'Nick Offerman, ', 'Glenn Close']",168,United States,s3668,TV Show
Exhibit A,(2019),TV-14,41 min,"Documentary, Crime",6.3,A Texas man is convicted of robbery when forensic experts see what they want to see in their analysis of store surveillance footage.,"['Kelly Loudenberg', '| ', '    Stars:', 'Grant Fredericks, ', 'George Powell III, ', 'Shalyn Halvey, ', 'Giovanni Powell']",117,United States,s3705,TV Show
Exhibit A,(2019),TV-14,29 min,"Documentary, Crime",6.6,The limits of forensic science are exposed when flawed blood spatter evidence leads to the conviction of a Texas woman for the murder of her husband.,"['Kelly Loudenberg', '| ', '    Stars:', 'David Rossi, ', 'Norma Jean Clark, ', 'Edmund Clark, ', 'Leah Phillips']",82,United States,s3705,TV Show
Exhibit A,(2019),TV-14,37 min,"Documentary, Crime",6.0,Assumptions pass for facts when Detroit police misuse cadaver dogs to build a murder case against a man whose daughter has disappeared.,"['Kelly Loudenberg', '| ', '    Stars:', 'Martin Grime, ', 'Banika Jones, ', ""D'Andre Lane, "", 'Terry Johnson']",76,United States,s3705,TV Show
Exhibit A,(2019),TV-14,37 min,"Documentary, Crime",6.8,"In Brooklyn, an innocent man faces assault charges thanks to statistical DNA testing that relies on deduction rather than proof.","['Kelly Loudenberg', '| ', '    Stars:', 'Arthur Young, ', 'Izzy Fried, ', 'Taj Patterson, ', 'Ken Thompson']",66,United States,s3705,TV Show
JoJo's Bizarre Adventure,(2012– ),TV-MA,25 min,"Animation, Action, Adventure",9.4,The Stand arrow's rightful owner is finally revealed.,"['Lizzie Freeman, ', 'Kellen Goff, ', 'Katsuyuki Konishi, ', 'Yûichi Nakamura']","1,192",Japan,s844,TV Show
Power Rangers Beast Morphers,(2019–2020),TV-Y7,2 Seasons,"Action, Adventure, Comedy",8.1,An innocent lie leads to a break in trust between the Power Rangers.,"['Oliver Driver', '| ', '    Stars:', 'Rorrie D. Travis, ', 'Jasmeet Baduwalia, ', 'Jacqueline Scislowski, ', 'Abraham Rodriguez']",33,United States,s1853,TV Show
Family Business,(2019–2021),TV-MA,2 Seasons,Comedy,7.4,A shocking turn of events leaves the family facing financial ruin and forces them into a showdown with a maniacal criminal.,"['Igor Gotesman', '| ', '    Stars:', 'Jonathan Cohen, ', 'Gérard Darmon, ', 'Julia Piaton, ', 'Liliane Rovère']",97,France,s2009,TV Show
The Last Kingdom,(2015–2022),TV-MA,55 min,"Action, Drama, History",8.6,"As he lingers near death, Aethelred shows repentance. Ealdormen of Mercia vie for control of the land. Edward uses his niece Aelfwynn as a bargaining chip.","['Andy Hay', '| ', '    Stars:', 'Toby Regbo, ', 'Jamie Blackley, ', 'Richard Dillane, ', 'Dorian Lough']","2,506",United Kingdom,s2629,TV Show
Family Business,(2019–2021),TV-MA,2 Seasons,Comedy,7.0,"When his plans for the shop hit a snag, Joseph scrambles to get things back on track -- with help from his father's idol, Enrico Macias.","['Igor Gotesman', '| ', '    Stars:', 'Jonathan Cohen, ', 'Gérard Darmon, ', 'Julia Piaton, ', 'Liliane Rovère']",110,France,s2009,TV Show
Family Business,(2019–2021),TV-MA,2 Seasons,Comedy,7.2,"On a wild trip to Amsterdam, Joseph samples the local specialties and begins to see his father in a new light. Meanwhile, Aure packs for Tokyo.","['Igor Gotesman', '| ', '    Stars:', 'Jonathan Cohen, ', 'Gérard Darmon, ', 'Julia Piaton, ', 'Liliane Rovère']",103,France,s2009,TV Show
Family Business,(2019–2021),TV-MA,2 Seasons,Comedy,7.7,"As the Hazans divvy up responsibilities for the new business, Joseph scrambles to make good on both of his promises to Clémentine.","['Igor Gotesman', '| ', '    Stars:', 'Jonathan Cohen, ', 'Gérard Darmon, ', 'Julia Piaton, ', 'Liliane Rovère']",98,France,s2009,TV Show
Family Business,(2019–2021),TV-MA,2 Seasons,Comedy,7.8,"Enrico finds a creative solution to Gérard's renovation woes. Out at the country house, a request from the new neighbors sends the family into a panic.","['Igor Gotesman', '| ', '    Stars:', 'Jonathan Cohen, ', 'Gérard Darmon, ', 'Julia Piaton, ', 'Liliane Rovère']",100,France,s2009,TV Show
Space Force,(2020–2022),TV-MA,35 min,Comedy,6.8,Four-star general Mark Naird - leader of the newly created Space Force - is pressured to launch a satellite despite dire warnings from scientists.,"['Paul King', '| ', '    Stars:', 'Steve Carell, ', 'John Malkovich, ', 'Ben Schwartz, ', 'Diana Silvers']","3,147",United States,s2460,TV Show
Space Force,(2020–2022),TV-MA,32 min,Comedy,7.3,"With his beloved satellite severely hobbled, General Naird must decide between a well-reasoned scientific solution and a chimp-led rescue operation.","['Tom Marshall', '| ', '    Stars:', 'Steve Carell, ', 'John Malkovich, ', 'Ben Schwartz, ', 'Diana Silvers']","2,689",United States,s2460,TV Show
Space Force,(2020–2022),TV-MA,30 min,Comedy,7.2,"While General Naird and Dr. Mallory brace themselves for a contentious hearing on Capitol Hill, Erin gets to know Captain Ali.","['Tom Marshall', '| ', '    Stars:', 'Steve Carell, ', 'John Malkovich, ', 'Ben Schwartz, ', 'Diana Silvers']","2,280",United States,s2460,TV Show
Space Force,(2020–2022),TV-MA,31 min,Comedy,6.9,"General Naird volunteers for Dr. Mallory's Lunar Habitat Experiment. Meanwhile, Erin tries to throw a party, and Space Force gets a snazzy new look.","['Paul King', '| ', '    Stars:', 'Steve Carell, ', 'John Malkovich, ', 'Ben Schwartz, ', 'Diana Silvers']","2,110",United States,s2460,TV Show
Space Force,(2020–2022),TV-MA,30 min,Comedy,6.7,"Armed with weapons that are less than intimidating, Space Force soldiers - led by General Naird - play war games with their Air Force rivals.","['Dee Rees', '| ', '    Stars:', 'Steve Carell, ', 'John Malkovich, ', 'Ben Schwartz, ', 'Diana Silvers']","2,022",United States,s2460,TV Show
Space Force,(2020–2022),TV-MA,34 min,Comedy,7.1,"Flying high after his war games win, General Naird comes crashing back to reality when he learns there may be a spy in Space Force.","['Dee Rees', '| ', '    Stars:', 'Steve Carell, ', 'John Malkovich, ', 'Ben Schwartz, ', 'Diana Silvers']","1,878",United States,s2460,TV Show
Space Force,(2020–2022),TV-MA,26 min,Comedy,6.9,A heavily hyped entrepreneur offers to let Space Force use her revolutionary rocket fuel. Dr. Chan gives Captain Ali a crash course in botany.,"['Jeffrey Blitz', '| ', '    Stars:', 'Steve Carell, ', 'John Malkovich, ', 'Ben Schwartz, ', 'Diana Silvers']","1,819",United States,s2460,TV Show
Space Force,(2020–2022),TV-MA,32 min,Comedy,6.9,"It's conjugal visit time and General Naird is all systems go. Meanwhile, Dr. Chan and Captain Ali carpool, and Dr. Mallory deals with a time crunch.","['David Rogers', '| ', '    Stars:', 'Steve Carell, ', 'John Malkovich, ', 'Ben Schwartz, ', 'Diana Silvers']","1,783",United States,s2460,TV Show
Space Force,(2020–2022),TV-MA,35 min,Comedy,7.6,"With the launch just days away, General Naird copes with an unprepared crew. Captain Ali searches for the perfect words, and Erin visits her mom.","['Daina Reid', '| ', '    Stars:', 'Steve Carell, ', 'John Malkovich, ', 'Ben Schwartz, ', 'Diana Silvers']","1,856",United States,s2460,TV Show
Space Force,(2020–2022),TV-MA,36 min,Comedy,7.1,"Under pressure to retaliate against China, General Naird wrestles with his conscience. Dr. Mallory makes an ominous threat, and Erin goes rogue.","['Daina Reid', '| ', '    Stars:', 'Steve Carell, ', 'John Malkovich, ', 'Ben Schwartz, ', 'Diana Silvers']","1,810",United States,s2460,TV Show
Grand Army,(2020),TV-MA,53 min,Drama,7.2,"Traumatised m, Joey spirals. Sid opens up in his Harvard essay. A health crisis puts more pressure on Dom to financially support her family.","['Darnell Martin', '| ', '    Stars:', 'Odessa A’zion, ', 'Odley Jean, ', 'Amir Bageria, ', 'Maliq Johnson']",143,United States,s1838,TV Show
Good Girls,(2018–2021),TV-14,42 min,"Comedy, Crime, Drama",7.9,A new season of scheming begins as the ladies work to perfect their craft. Beth grapples with guilt and grief - and faces an unexpected visitor.,"['Michael Weaver', '| ', '    Stars:', 'Christina Hendricks, ', 'Retta, ', 'Mae Whitman, ', 'Reno Wilson']",543,United States,s1307,TV Show
High Seas,(2019–2020),TV-MA,3 Seasons,"Crime, Drama, Mystery",7.2,Whispers Continue to flow about the new passenger capabilities But Eva wouldn't make peace with that.,"['Manuel Gómez Pereira', '| ', '    Stars:', 'Ivana Baquero, ', 'Jon Kortajarena, ', 'Alejandra Onieva, ', 'Eloy Azorín']",132,Spain,s2152,TV Show
High Seas,(2019–2020),TV-MA,3 Seasons,"Crime, Drama, Mystery",7.1,Casandra conducts a meeting and convinces more people about the presence of a ghost on the ship. Verónica feels conflicted. Natalia worries about Clara.,"['Lino Escalera', '| ', '    Stars:', 'Ivana Baquero, ', 'Jon Kortajarena, ', 'Alejandra Onieva, ', 'Eloy Azorín']",124,Spain,s2152,TV Show
High Seas,(2019–2020),TV-MA,3 Seasons,"Crime, Drama, Mystery",6.9,Carolina starts to distrust Fernando. Eva attempts to learn more about Rosa Marín as strange events keep occurring. Dimas makes a startling discovery.,"['Lino Escalera', '| ', '    Stars:', 'Ivana Baquero, ', 'Jon Kortajarena, ', 'Alejandra Onieva, ', 'Eloy Azorín']",122,Spain,s2152,TV Show
High Seas,(2019–2020),TV-MA,3 Seasons,"Crime, Drama, Mystery",7.4,Eva and Nicolás work together to uncover the truth about Casandra. Fernando's denials are met with doubts. Natalia starts discrediting Clara.,"['Manuel Gómez Pereira', '| ', '    Stars:', 'Ivana Baquero, ', 'Jon Kortajarena, ', 'Alejandra Onieva, ', 'Eloy Azorín']",117,Spain,s2152,TV Show
High Seas,(2019–2020),TV-MA,3 Seasons,"Crime, Drama, Mystery",7.4,A letter and a new witness create more confusion about Rosa Marín's disappearance. Clara's grief and trauma overwhelm her.,"['Manuel Gómez Pereira', '| ', '    Stars:', 'Ivana Baquero, ', 'Jon Kortajarena, ', 'Alejandra Onieva, ', 'Eloy Azorín']",115,Spain,s2152,TV Show
JoJo's Bizarre Adventure,(2012– ),TV-MA,25 min,"Animation, Action, Adventure",8.9,Giorno achieves his dream and destiny of becoming a Gang-star.,"['Sean Chiplock, ', 'Junya Enoki, ', 'Lizzie Freeman, ', 'Kellen Goff']","1,023",Japan,s844,TV Show
Power Rangers Beast Morphers,(2019–2020),TV-Y7,2 Seasons,"Action, Adventure, Comedy",8.7,"When Nate and Steel unexpectedly clash, it leads to double trouble for the team.","['Riccardo Pellizzeri', '| ', '    Stars:', 'Rorrie D. Travis, ', 'Jasmeet Baduwalia, ', 'Jacqueline Scislowski, ', 'Abraham Rodriguez']",35,United States,s1853,TV Show
Blood & Water,(2020– ),TV-MA,43 min,"Drama, Mystery",7.0,Puleng bears her parents' complex sadness as each year passes since her sister's abduction and escapes for a taste of joy - with a twist.,"['Nosipho Dumisa', '| ', '    Stars:', 'Ama Qamata, ', 'Khosi Ngema, ', 'Gail Mabalane, ', 'Thabang Molaba']",120,South Africa,s2,TV Show
Grand Army,(2020),TV-MA,51 min,Drama,7.2,"Sid struggles with his secret. Nudged by her girls, Dom finally acts on her crush on John. A night of partying take s a devastating turn for Joey.","['Darnell Martin', '| ', '    Stars:', 'Odessa A’zion, ', 'Odley Jean, ', 'Amir Bageria, ', 'Maliq Johnson']",160,United States,s1838,TV Show
Grand Army,(2020),TV-MA,46 min,Drama,7.2,Joey's charges and Owen's discipline hearing send shockwaves at school. Dom's mother makes an uncomfortable proposal to bring in money.,"['Tina Mabry', '| ', '    Stars:', 'Odessa A’zion, ', 'Odley Jean, ', 'Amir Bageria, ', 'Maliq Johnson']",139,United States,s1838,TV Show
Grand Army,(2020),TV-MA,50 min,Drama,7.1,"Sid and Victors science experiments have revealing results. Dom's nonstop hustle takes a toll. Jayson gets into a jazz competition, with a catch.","['Tina Mabry', '| ', '    Stars:', 'Odessa A’zion, ', 'Odley Jean, ', 'Amir Bageria, ', 'Maliq Johnson']",132,United States,s1838,TV Show
JoJo's Bizarre Adventure,(2012– ),TV-MA,25 min,"Animation, Action, Adventure",8.8,"In the past, Bruno and his team investigated the mysterious death of a girl and how it ties into the power known as Rolling Stones. And in the present, the final fate of Giorno and the gang is revealed as Golden Wind comes to a close.","['Sean Chiplock, ', 'Junya Enoki, ', 'Lizzie Freeman, ', 'Kellen Goff']","1,046",Japan,s844,TV Show
Teenage Bounty Hunters,(2020),TV-MA,1 Season,"Comedy, Crime, Drama",7.7,Sterling and Blair seem perfect little angels - 'til they crash into bounty-hunting Bowser. But Sterling's halo slips.,"['Jesse Peretz', '| ', '    Stars:', 'Maddie Phillips, ', 'Anjelica Bette Fellini, ', 'Kadeem Hardison, ', 'Virginia Williams']",878,United States,s2134,TV Show
Teenage Bounty Hunters,(2020),TV-MA,1 Season,"Comedy, Crime, Drama",7.7,The girls buckle down to bounty hunter basics while working on relationship pressures.,"['Mark A. Burley', '| ', '    Stars:', 'Anjelica Bette Fellini, ', 'Maddie Phillips, ', 'Kadeem Hardison, ', 'Virginia Williams']",813,United States,s2134,TV Show
Elite,(2018– ),TV-MA,49 min,"Crime, Drama, Thriller",7.9,Guzmán attempts to make amends. Nadia threatens payback when she and Lu go after the same scholarship. Ander comes clean to his loved ones.,"['Jorge Torregrossa', '| ', '    Stars:', 'Itzan Escamilla, ', 'Miguel Bernardeau, ', 'Álvaro Rico, ', 'Arón Piper']","1,162",Spain,s685,TV Show
Elite,(2018– ),TV-MA,47 min,"Crime, Drama, Thriller",7.8,Polo is harassed at school. Samuel mulls the police's offer as he and Rebeca become closer. Ander struggles with his treatment.,"['Dani de la Orden', '| ', '    Stars:', 'Itzan Escamilla, ', 'Miguel Bernardeau, ', 'Álvaro Rico, ', 'Arón Piper']","1,133",Spain,s685,TV Show
Elite,(2018– ),TV-MA,52 min,"Crime, Drama, Thriller",8.1,Guzmán confronts Nadia's father. New romances transpire when Lu throws a creative Valentine's Day party. Rebeca struggles with a moneymaking decision.,"['Dani de la Orden', '| ', '    Stars:', 'Itzan Escamilla, ', 'Miguel Bernardeau, ', 'Álvaro Rico, ', 'Arón Piper']","1,176",Spain,s685,TV Show
Elite,(2018– ),TV-MA,51 min,"Crime, Drama, Thriller",8.4,Rebeca tries to identify the traitor. A blackout party at the club leads to multiple shocking revelations.,"['Jorge Torregrossa', '| ', '    Stars:', 'Itzan Escamilla, ', 'Miguel Bernardeau, ', 'Álvaro Rico, ', 'Arón Piper']","1,200",Spain,s685,TV Show
Teenage Bounty Hunters,(2020),TV-MA,1 Season,"Comedy, Crime, Drama",7.8,"In between tracking an elusive bail jumper, Blair goes on a date with Miles, and Sterling searches for friends beyond her Fellowship group.","['Andrew DeYoung', '| ', '    Stars:', 'Maddie Phillips, ', 'Anjelica Bette Fellini, ', 'Kadeem Hardison, ', 'Virginia Williams']",797,United States,s2134,TV Show
Teenage Bounty Hunters,(2020),TV-MA,1 Season,"Comedy, Crime, Drama",7.6,Sterling and Blair can't escape relationship drama when they use the well-heeled guests at their mom's book club party as bait to catch a scammer.,"['Lauren Morelli', '| ', '    Stars:', 'Maddie Phillips, ', 'Anjelica Bette Fellini, ', 'Kadeem Hardison, ', 'Virginia Williams']",773,United States,s2134,TV Show
Teenage Bounty Hunters,(2020),TV-MA,1 Season,"Comedy, Crime, Drama",7.6,"While helping Bowser pursue a wily exotic dancer, the twins process a teacher's untimely passing by making major relationship decisions.","['Rebecca Asher', '| ', '    Stars:', 'Maddie Phillips, ', 'Anjelica Bette Fellini, ', 'Kadeem Hardison, ', 'Virginia Williams']",778,United States,s2134,TV Show
